Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR18396491_1	71.40362447802391	41.0	75.61736533565983	76	20.0	8.014334
SRR18396491_2	58.73708575910944	42.0	75.62360078828759	76	40.0	8.014334
SRR18396493_1	70.19090339332048	41.0	75.6156924114397	76	20.0	10.134083
SRR18396493_2	60.25435162934913	42.0	75.61839112626174	76	30.0	10.134083
SRR18396494_1	68.96810097629132	42.0	75.6142067366811	76	20.0	7.591482999999999
SRR18396494_2	58.08483305430745	42.0	75.61794619048742	76	40.0	7.591482999999999
SRR18396495_1	64.90760604997288	41.0	75.61558433187194	76	20.0	5.119565
SRR18396495_2	52.67392478913525	42.0	75.62155261238016	76	40.0	5.119565
SRR18396500_1	64.92153259372824	42.0	75.61605490466194	76	20.0	5.470428
SRR18396500_2	53.54643214271054	42.0	75.6189111711186	76	30.0	5.470428
SRR18396512_1	70.20823052328768	41.0	75.61684584874138	76	20.0	5.938187
SRR18396512_2	55.9552499626042	42.0	75.61933128747881	76	40.0	5.938187
