chrI	139188	139218	+	2
chrI	181179	181210	+	5
chrII	36435	36452	+	8
chrII	89126	89132	-	11
chrII	426490	426516	-	25
chrIII	90897	90928	+	30
chrIII	227979	227997	+	42
chrIV	122177	122215	+	45
chrIV	216490	216528	+	46
chrIV	340799	340810	-	48
chrIV	359614	359636	+	49
chrIV	653524	653606	+	63
chrIV	884398	884457	+	66
chrIV	946351	946364	+	67
chrIV	1095406	1095424	-	72
chrIV	1461759	1461791	-	80
chrIX	128149	128150	+	83
chrmt	60725	61867	+	433
chrV	363093	363099	+	114
chrVI	101412	101442	+	128
chrVI	157952	157970	-	131
chrVI	167476	167489	+	133
chrVI	191558	191576	-	135
chrVI	210655	210668	-	138
chrVI	223438	223440	-	140
chrVII	115525	115547	+	146
chrVII	148589	148598	-	149
chrVII	150172	150183	-	150
chrVII	205559	205590	+	152
chrVII	287386	287419	-	153
chrVII	423130	423161	+	163
chrVII	437935	437941	-	164
chrVII	440752	440770	-	165
chrVII	534459	534473	-	167
chrVII	700989	701011	-	177
chrVII	787780	787786	-	184
chrVII	857422	857453	-	189
chrVII	878746	878779	-	191
chrVIII	237884	237902	-	204
chrVIII	358514	358532	-	205
chrVIII	388929	388959	-	208
chrX	172368	172432	-	216
chrX	354283	354296	+	222
chrX	415967	416000	-	231
chrX	542992	543005	-	239
chrX	617957	617975	+	241
chrXI	93299	93311	-	247
chrXI	166488	166543	+	250
chrXI	302954	302987	+	254
chrXI	458595	458626	+	260
chrXI	579002	579024	+	265
chrXII	92584	92614	+	266
chrXII	455182	455413	-	276
chrXII	455572	455932	-	276
chrXII	464319	464550	-	281
chrXII	464709	465069	-	281
chrXII	592563	592581	-	289
chrXII	605336	605395	-	290
chrXII	628421	628453	+	291
chrXII	732128	732146	+	294
chrXII	784390	784409	+	296
chrXII	795900	795912	-	301
chrXII	856435	856441	+	304
chrXII	856575	857057	+	304
chrXII	875413	875435	+	306
chrXII	898646	898650	+	307
chrXIII	168834	168847	+	317
chrXIII	196104	196134	-	319
chrXIII	352317	352334	+	330
chrXIII	379339	379372	-	333
chrXIII	504933	504964	+	338
chrXIII	837967	837980	+	348
chrXIV	374906	374923	+	354
chrXIV	443044	443075	+	355
chrXIV	501503	501514	+	356
chrXIV	547130	547160	+	358
chrXIV	568151	568181	+	360
chrXV	274710	274728	+	377
chrXV	288231	288244	+	379
chrXV	301133	301162	+	380
chrXV	438680	438702	+	385
chrXV	464486	464515	+	386
chrXV	780121	780277	+	394
chrXV	980719	980751	+	400
chrXVI	56205	56238	-	402
chrXVI	115294	115311	+	404
chrXVI	281374	281503	-	407
chrXVI	560234	560252	-	410
chrXVI	622576	622594	-	414
chrXVI	769243	769265	-	420
