544
99304	99867	1	0	0
139151	139186	1	1	1
139218	139253	1	1	1
142366	142467	1	2	2
166266	166338	1	3	3
181140	181177	1	4	4
181210	181253	1	4	4
182521	182602	2	5	5
271726	271809	1	6	6
298541	298577	1	7	7
298596	298631	1	7	7
307788	308513	1	8	8
350333	350420	1	9	9
350666	351268	2	10	10
351276	351583	2	10	10
459637	459710	1	11	11
459772	459842	2	12	12
489218	489299	1	13	13
528521	528593	1	14	14
538948	542788	1	15	15
569328	569488	2	16	16
569730	571030	1	17	17
588935	589008	2	18	18
609746	609829	1	19	19
612970	613041	1	20	20
638753	640776	1	21	21
668021	668092	1	22	22
668103	668174	1	23	23
688333	688632	2	24	24
688660	689016	2	24	24
905150	905221	2	25	25
907310	907381	1	26	26
942831	944005	2	27	27
1393181	1393252	2	28	28
1401578	1401615	1	29	29
1401648	1401691	1	29	29
1418223	1418431	2	30	30
1434296	1434367	2	31	31
1438435	1438508	1	32	32
1453083	1453265	2	33	33
1453420	1453490	2	34	34
1460639	1460710	1	35	35
1462003	1462075	2	36	36
1479020	1479091	2	37	37
1487902	1488001	1	38	38
1489329	1489517	2	39	39
1516485	1516661	1	40	40
1538661	1538697	1	41	41
1538717	1538761	1	41	41
1606203	1606275	1	42	42
1918555	1918625	1	43	43
1957085	1957183	1	44	44
1957223	1958596	1	44	44
2051165	2051496	1	45	45
2051536	2052081	1	45	45
2158224	2158478	2	46	46
2175635	2175805	2	47	47
2175818	2176226	2	47	47
2194584	2194620	1	48	48
2194644	2194679	1	48	48
2245386	2245458	1	49	49
2269271	2269343	2	50	50
2272779	2272860	1	51	51
2323804	2323877	2	52	52
2341341	2342781	1	53	53
2341553	2342457	2	54	54
2354750	2354833	1	55	55
2355979	2356050	1	56	56
2376609	2376707	2	57	57
2403889	2403960	1	58	58
2403971	2404042	1	59	59
2454976	2455048	2	60	60
2480160	2480231	2	61	61
2487788	2488530	1	62	62
2488614	2489435	1	62	62
2503014	2503087	2	63	63
2637738	2637809	2	64	64
2719368	2719404	1	65	65
2719465	2719500	1	65	65
2781319	2781357	1	66	66
2781372	2781407	1	66	66
2815981	2816062	2	67	67
2827839	2827909	1	68	68
2852214	2852285	2	69	69
2910479	2910551	2	70	70
2930377	2930412	2	71	71
2930432	2930468	2	71	71
2985849	2985948	2	72	72
3010836	3010908	1	73	73
3036757	3036829	1	74	74
3092015	3092086	2	75	75
3140637	3140719	1	76	76
3187473	3187545	2	77	77
3237926	3238049	1	78	78
3296722	3296765	2	79	79
3296799	3296836	2	79	79
3327484	3328033	2	80	80
3504982	3505117	1	81	81
3535533	3536019	1	82	82
3536022	3537452	1	82	82
3582902	3582974	1	83	83
3591311	3591384	2	84	84
3605463	3605534	1	85	85
3618536	3618609	1	86	86
3656721	3656802	1	87	87
3708099	3708171	2	88	88
3732174	3732245	2	89	89
3733619	3733691	1	90	90
3744220	3744291	2	91	91
3778288	3778359	1	92	92
3801755	3804953	2	93	93
3803870	3804810	1	94	94
3932890	3932961	1	427	427
3938705	3940353	1	428	428
3941533	3941606	1	429	429
3967532	3967603	1	430	430
3980360	3980449	1	431	431
3990168	3992883	1	432	432
3994027	3994606	1	432	432
3996021	3996096	1	433	433
3996574	3996649	1	434	434
3996755	3996829	1	435	435
3998254	3998338	1	436	436
3998369	3998444	1	437	437
3999220	3999293	1	438	438
3999468	3999540	1	439	439
3999627	3999701	1	440	440
4000481	4000555	1	441	441
4001362	4001447	1	442	442
4001448	4001521	1	443	443
4002005	4002080	1	444	444
4002321	4002396	1	445	445
4002983	4003066	1	446	446
4003592	4003662	1	447	447
4004789	4004864	1	448	448
4009590	4009664	1	449	449
4010248	4010321	2	450	450
4010692	4010767	1	451	451
4017194	4017271	1	452	452
4017454	4017936	1	453	453
4246453	4246623	2	95	95
4255655	4255736	1	96	96
4256002	4256092	1	97	97
4256193	4256263	2	98	98
4280907	4280988	1	99	99
4294436	4294507	1	100	100
4311970	4312338	2	101	101
4325385	4325456	2	102	102
4329728	4329800	2	103	103
4332969	4333040	1	104	104
4361730	4361889	2	105	105
4371402	4371473	1	106	106
4401660	4401731	1	107	107
4444589	4444660	1	108	108
4482746	4482827	2	109	109
4506326	4506398	2	110	110
4516515	4517065	1	111	111
4549237	4549308	1	112	112
4557036	4557395	1	113	113
4557403	4558005	1	113	113
4617894	4618614	1	114	114
4619001	4619186	1	115	115
4625432	4625523	2	116	116
4628844	4628915	2	117	117
4630055	4630127	2	118	118
4633003	4633076	1	119	119
4636290	4636811	1	120	120
