90	100
139187	139217	0	0	0	1
181178	181209	0	0	0	1
298578	298595	0	0	1	1
351269	351275	0	0	0	2
688632	688658	0	1	0	2
1401616	1401647	0	0	0	1
1538698	1538716	0	0	0	1
1957183	1957221	0	1	0	1
2051495	2051533	0	2	1	1
2175805	2175816	0	1	0	2
2194621	2194643	0	0	1	1
2488531	2488613	0	0	1	1
2719404	2719463	0	1	0	1
2781356	2781369	0	2	0	1
2930412	2930430	0	1	0	2
3296766	3296798	0	0	0	2
3536020	3536021	0	0	1	1
3992883	3994025	0	1	1	1
4557396	4557402	0	0	0	1
5082147	5082177	0	0	0	1
5138686	5138704	0	1	0	2
5148209	5148222	0	2	0	1
5172293	5172311	0	0	0	2
5191390	5191403	0	0	2	2
5204172	5204174	0	1	0	2
5620548	5620570	0	0	1	1
5653610	5653619	0	2	0	2
5655193	5655204	0	2	0	2
5710582	5710613	0	0	1	1
5792409	5792442	0	0	1	2
5928153	5928184	0	0	0	1
5942958	5942964	0	0	0	2
5945774	5945792	0	1	0	2
6039481	6039495	0	1	0	2
6206011	6206033	0	1	0	2
6292802	6292808	0	1	0	2
6362445	6362476	0	0	0	2
6383769	6383802	0	0	1	2
7053626	7053644	0	1	0	2
7174256	7174274	0	1	0	2
7204672	7204702	0	0	0	2
7774542	7774606	0	1	0	2
7956456	7956469	0	2	0	1
8018142	8018175	0	0	1	2
8145167	8145180	0	0	2	2
8220132	8220150	0	0	0	1
8481906	8481918	0	0	0	2
8555095	8555150	0	0	0	1
8691560	8691593	0	1	0	1
8847202	8847233	0	0	0	1
8967609	8967631	0	0	1	1
9267623	9267653	0	0	0	1
9630221	9630452	0	0	0	2
9630609	9630969	0	2	1	2
9639358	9639589	0	0	0	2
9639746	9640106	0	2	1	2
9767602	9767620	0	0	0	2
9780375	9780434	0	0	1	2
9803460	9803492	0	0	0	1
9907167	9907185	0	0	0	1
9959427	9959446	0	2	0	1
9970938	9970950	0	1	0	2
10031474	10031480	0	0	0	1
10031614	10032096	1	1	2	1
10050452	10050474	0	0	1	1
10073685	10073689	0	0	2	1
10654591	10654604	0	2	0	1
10681863	10681893	0	0	0	2
10838076	10838093	0	0	1	1
10865098	10865131	0	0	1	2
10990692	10990723	0	0	0	1
11323724	11323737	0	2	0	1
11909241	11909258	0	0	1	1
11977379	11977410	0	0	0	1
12035838	12035849	0	0	0	1
12081465	12081495	0	0	0	1
12102486	12102516	0	0	0	1
12595477	12595495	0	0	0	1
12608996	12609009	0	2	0	1
12621900	12621929	0	0	0	1
12759447	12759469	0	0	1	1
12785253	12785282	0	0	0	1
13100888	13101044	1	0	0	1
13301486	13301518	0	0	0	1
13687692	13687725	0	0	1	2
13746781	13746798	0	0	2	1
13912861	13912990	2	0	0	2
14191720	14191738	0	1	0	2
14254062	14254080	0	1	0	2
14400729	14400751	0	1	0	2
